Fecha,m,y,i,p,remes,tc
jul-10,593182.402,92.3286,4.6,72.92919,1874.4402,12.8189
ago-10,584119.067,91.5622,4.52,73.13175,1957.7357,12.7695
sep-10,588091.817,90.5565,4.43,73.51511,1718.9603,12.7997
oct-10,590029.643,93.8453,4.03,73.968926,1731.0322,12.4374
nov-10,605690.05,95.9693,3.97,74.561581,1631.8941,12.3391
dic-10,693423.114,95.5962,4.3,74.930954,1721.827,12.3885
ene-11,648030.446,90.2056,4.14,75.295991,1403.1694,12.1258
feb-11,638281.57,88.569,4.04,75.57846,1651.0566,12.0703
mar-11,634711.772,95.8293,4.27,75.723451,2055.9125,11.9992
abr-11,645582.013,91.6002,4.28,75.717441,1880.8948,11.7184
may-11,637597.245,95.9463,4.31,75.159264,2168.5078,11.6533
jun-11,635323.256,96.4886,4.37,75.155508,2022.3112,11.806
jul-11,645656.105,95.218,4.14,75.516107,1906.7078,11.6726
ago-11,635301.021,96.539,4.05,75.635555,2143.8956,12.2319
sep-11,643273.709,94.102,4.23,75.821113,2085.9703,13.0445
oct-11,651531.413,97.4376,4.36,76.332712,1912.6401,13.435
nov-11,675504.053,101.0828,4.35,77.158333,1785.8739,13.6993
dic-11,763490.94,98.8148,4.34,77.792385,1786.0316,13.7689
ene-12,724693.774,94.675,4.27,78.343049,1506.3264,13.4178
feb-12,711443.511,94.0794,4.32,78.502314,1788.2346,12.7831
mar-12,723848.484,99.0914,4.24,78.547389,2091.6655,12.7567
abr-12,732243.958,95.4792,4.29,78.30098,2031.5033,13.0697
may-12,742959.467,100.3147,4.39,78.053819,2342.5053,13.6634
jun-12,748818.171,99.6852,4.34,78.413667,2096.1395,13.9192
jul-12,747220.613,99.3103,4.15,78.853897,1862.7014,13.3661
ago-12,737859.785,99.0987,4.13,79.09054,1889.6558,13.1845
sep-12,728580.289,95.1889,4.17,79.439119,1661.5842,12.9394
oct-12,740223.965,101.8593,4.21,79.841036,1771.3108,12.891
nov-12,758617.346,104.3872,4.29,80.383437,1692.2529,13.0746
dic-12,845395.608,100.5319,4.05,80.568243,1704.4423,12.8705
ene-13,787097.788,97.9674,4.15,80.892782,1530.9493,12.699
feb-13,778364.154,94.6718,4.19,81.290943,1653.7933,12.7229
mar-13,803483.379,97.0673,3.98,81.887433,1855.5856,12.5247
abr-13,764627.974,99.9199,3.82,81.941523,1990.6289,12.205
may-13,772198.529,102.2805,3.72,81.66882,2105.1707,12.3115
jun-13,773244.201,99.5225,3.78,81.619238,2001.2296,12.9596
jul-13,769509.433,100.8104,3.85,81.592193,1890.2772,12.7659
ago-13,769244.753,100.2732,3.84,81.824328,1953.6304,12.9178
sep-13,769835.448,96.8059,3.64,82.13234,1828.3274,13.0759
oct-13,779988.436,103.6678,3.39,82.522988,1911.9983,12.9992
nov-13,821135.896,104.2283,3.39,83.292265,1731.6637,13.0796
dic-13,917875.175,102.785,3.29,83.770058,1849.4966,13.0076
ene-14,869142.994,98.6922,3.14,84.519052,1642.2232,13.223
feb-14,864384.885,96.9266,3.16,84.733157,1719.2445,13.2808
mar-14,858037.679,101.1074,3.17,84.965292,2098.2592,13.1951
abr-14,873152.161,100.3229,3.23,84.806779,1976.3673,13.0708
may-14,875565.293,104.8978,3.28,84.535579,2146.9543,12.9247
jun-14,875844.658,102.8076,3.02,84.682072,2043.4553,12.9958
jul-14,887166.515,104.0395,2.83,84.914959,1998.1848,12.9904
ago-14,886285.426,101.7495,2.77,85.219965,2004.331,13.1406
sep-14,883140.826,100.0043,2.83,85.59634,1965.0674,13.2352
oct-14,908610.791,106.8945,2.9,86.069626,2042.1377,13.4763
nov-14,944939.081,106.4367,2.85,86.763778,1776.0464,13.6216
dic-14,1062892.005,107.0086,2.81,87.188984,2235.0127,14.5129
ene-15,1024724.921,102.2984,2.67,87.110103,1626.8265,14.6926
feb-15,1025434.231,99.9239,2.81,87.275377,1842.5174,14.9213
mar-15,1064272.698,104.7324,3.04,87.630717,2254.2732,15.2283
abr-15,1046381.607,103.6431,2.97,87.40384,2006.1882,15.2262
may-15,1057903.659,106.1488,2.98,86.967366,2191.0587,15.2645
jun-15,1054390.499,107.0577,2.96,87.113108,2156.0087,15.483
jul-15,1071939.313,107.2808,2.99,87.24082,2234.8851,15.9396
ago-15,1078993.591,105.3815,3.04,87.424875,2253.1487,16.5368
sep-15,1072556.866,104.8799,3.1,87.752419,2055.1324,16.8578
oct-15,1095608.243,109.2778,3.02,88.203919,2068.8161,16.564
nov-15,1118916.442,108.8944,3.02,88.685468,1895.1813,16.6357
dic-15,1239327.041,109.8702,3.14,89.046818,2200.7363,17.0666
ene-16,1203744.198,104.5772,3.08,89.386381,1932.4979,18.0728
feb-16,1190668.406,104.855,3.36,89.777781,2082.2151,18.4731
mar-16,1214340.926,105.9904,3.8,89.910001,2191.1363,17.649
abr-16,1200801.859,107.3478,3.74,89.625278,2171.3015,17.4877
may-16,1221642.781,109.1572,3.81,89.225615,2478.2101,18.1542
jun-16,1235273.746,110.3785,3.81,89.324028,2312.3136,18.653
jul-16,1251299.734,107.7753,4.21,89.556914,2248.6248,18.6014
ago-16,1243634.166,109.1645,4.24,89.809333,2269.2888,18.4749
sep-16,1251257.9,106.306,4.28,90.357744,2374.0707,19.1924
oct-16,1266174.904,110.9543,4.69,90.906154,2220.1971,18.8924
nov-16,1306229.771,114.0563,5.15,91.616834,2370.9655,20.1185
dic-16,1419753.503,113.4928,5.61,92.039035,2342.4602,20.5206
ene-17,1382790.72,108.6974,5.83,93.603882,2147.8962,21.3853
feb-17,1367859.767,105.4796,6.06,94.14478,2141.9286,20.2905
mar-17,1369314.609,111.9705,6.32,94.722489,2618.4356,19.301
abr-17,1378915.378,106.4962,6.5,94.838933,2404.4485,18.7875
may-17,1374295.827,112.8887,6.56,94.725494,2694.8252,18.7557
jun-17,1371216.535,113.1549,6.82,94.96364,2552.3467,18.1326
jul-17,1369986.826,109.1287,6.99,95.322736,2599.9785,17.8283
ago-17,1353026.215,111.9799,6.94,95.793768,2617.6073,17.807
sep-17,1352869.144,106.6822,6.99,96.093515,2489.214,17.8357
oct-17,1368872.328,112.7003,7.03,96.698269,2842.5028,18.8161
nov-17,1405915.353,115.9299,7.02,97.695174,2420.8104,18.9158
dic-17,1542611.15,114.7748,7.17,98.272883,2760.5513,19.1812
ene-18,1481027.34,110.8568,7.25,98.795,2267.623,18.9074
feb-18,1475977.346,107.8136,7.4,99.171374,2244.4429,18.6449
mar-18,1519655.129,111.1747,7.47,99.492157,2674.8575,18.6308
abr-18,1492536.593,111.2518,7.46,99.154847,2760.9455,18.3872
may-18,1502800.404,115.3959,7.51,98.99408,3155.952,19.591
jun-18,1532412.481,114.4606,7.64,99.376465,3140.6653,20.3032
jul-18,1526363.143,112.8654,7.73,99.909099,2858.0037,19.0095
ago-18,1518453.527,113.9739,7.73,100.492,2883.364,18.8575
sep-18,1506101.408,108.8376,7.69,100.917,2718.0975,19.0154
oct-18,1525826.761,115.9501,7.69,101.44,3017.3339,19.1859
nov-18,1564619.117,118.0373,7.83,102.303,2964.7711,20.2612
dic-18,1673205.362,114.8025,8.02,103.02,2991.1708,20.1112
ene-19,1602739.439,112.1386,7.95,103.108,2455.5875,19.1651
feb-19,1577930.231,108.8559,7.93,103.079,2438.3986,19.2049
mar-19,1559571.976,112.6492,8.02,103.476,2957.9707,19.2477
abr-19,1569275.22,109.6429,7.78,103.531,2937.0435,18.9864
may-19,1572136.933,114.9636,8.07,103.233,3282.0574,19.1197
jun-19,1573605.005,113.4018,8.25,103.299,3183.5035,19.2745
jul-19,1560512.067,113.2383,8.14,103.687,3270.2997,19.0534
